Month,Year,Inflation Rate YoY
1,2020,3
2,2020,2.5
3,2020,2.2
4,2020,1.8
5,2020,1.6
6,2020,2.3
7,2020,2.4
8,2020,2.2
9,2020,2.2
10,2020,2.3
11,2020,3
12,2020,3.3
1,2021,3.7
2,2021,4.2
3,2021,4.1
4,2021,4.1
5,2021,4.1
6,2021,3.7
7,2021,3.7
8,2021,4.4
9,2021,4.2
10,2021,4
11,2021,3.7
12,2021,3.1
1,2022,3
2,2022,3
3,2022,4
4,2022,4.9
5,2022,5.4
6,2022,6.1
7,2022,6.4
8,2022,6.3
9,2022,6.9
10,2022,7.7
11,2022,8
12,2022,8.1
1,2023,8.7
2,2023,8.6
3,2023,7.6
4,2023,6.6
5,2023,6.1
6,2023,5.4
7,2023,4.7
8,2023,5.3
9,2023,6.1
10,2023,4.9
11,2023,4.1
12,2023,3.9
1,2024,2.8
2,2024,3.4
3,2024,3.7
4,2024,3.8
5,2024,3.9
6,2024,3.7
7,2024,4.4
8,2024,3.3
9,2024,1.9
10,2024,2.3
11,2024,2.5
12,2024,2.9
1,2025,2.9
