Date,TRRR,ODIR,LFIR
2025-02-13,5.75,5.25,6.25
2024-12-19,5.75,5.25,6.25
2024-10-16,6.0,5.5,6.5
2024-08-15,6.25,5.75,6.75
2024-06-27,6.5,6.0,7.0
2024-05-16,6.5,6.0,7.0
2024-04-08,6.5,6.0,7.0
2024-02-15,6.5,6.0,7.0
2023-12-14,6.5,6.0,7.0
2023-11-16,6.5,6.0,7.0
2023-10-26,6.5,6.0,7.0
2023-09-21,6.25,5.75,6.75
2023-08-17,6.25,5.75,6.75
2023-06-22,6.25,5.75,6.75
2023-05-18,6.25,5.75,6.75
2023-03-23,6.25,5.75,6.75
2023-02-16,6.0,5.5,6.5
2022-12-15,5.5,5.0,6.0
2022-11-17,5.0,4.5,5.5
2022-09-22,4.25,3.75,4.75
2022-08-18,3.75,3.25,4.25
2022-07-14,3.25,2.75,3.75
2022-06-23,2.5,2.0,3.0
2022-05-19,2.25,1.75,2.75
2022-03-24,2.0,1.5,2.5
2022-02-17,2.0,1.5,2.5
2021-12-16,2.0,1.5,2.5
2021-11-18,2.0,1.5,2.5
2021-09-23,2.0,1.5,2.5
2021-08-12,2.0,1.5,2.5
2021-06-24,2.0,1.5,2.5
2021-05-12,2.0,1.5,2.5
2021-03-25,2.0,1.5,2.5
2021-02-11,2.0,1.5,2.5
2020-12-17,2.0,1.5,2.5
2020-11-19,2.0,1.5,2.5
2020-10-01,2.25,1.75,2.75
2020-08-20,2.25,1.75,2.75
2020-06-25,2.25,1.75,2.75
2020-04-16,2.75,3.25,2.25
2020-03-19,3.25,3.75,2.75
2020-02-06,3.75,4.25,3.25
